diff;diff2;timebin;season;SA;Estimate_log;pd_log;Estimate_logexp;pd_logexp
50 - 45;NA;NA;FALSE;nonSA;0.01 [-0.04, 0.06];72.65%;0.03 [-0.10, 0.15];72.65%
50 - 45;NA;NA;FALSE;NA;0.01 [-0.04, 0.05];69.77%;0.03 [-0.10, 0.14];69.77%
50 - 45;NA;NA;TRUE;SA;-0.03 [-0.09, 0.01];95.83%;-0.06 [-0.18, 0.01];95.83%
50 - 45;NA;NA;TRUE;nonSA;-0.03 [-0.09, 0.01];93.83%;-0.06 [-0.20, 0.02];93.83%
50 - 45;NA;NA;TRUE;NA;-0.03 [-0.09, 0.01];95.67%;-0.06 [-0.19, 0.01];95.67%
50 - 45;NA;NA;NA;SA;-0.01 [-0.06, 0.02];83.67%;-0.02 [-0.14, 0.05];83.67%
50 - 45;NA;NA;NA;nonSA;-0.01 [-0.06, 0.03];73.45%;-0.02 [-0.14, 0.06];73.45%
50 - 45;NA;NA;NA;NA;-0.01 [-0.06, 0.02];80.73%;-0.02 [-0.14, 0.05];80.73%
55 - 50;NA;NA;FALSE;SA;-0.00 [-0.07, 0.05];57.03%;-0.01 [-0.18, 0.15];57.03%
55 - 50;NA;NA;FALSE;nonSA;0.00 [-0.07, 0.06];50.20%;0.00 [-0.17, 0.16];50.20%
55 - 50;NA;NA;FALSE;NA;-0.00 [-0.07, 0.06];53.95%;-0.01 [-0.17, 0.15];53.95%
55 - 50;NA;NA;TRUE;SA;-0.03 [-0.11, 0.02];91.40%;-0.06 [-0.20, 0.04];91.40%
55 - 50;NA;NA;TRUE;nonSA;-0.03 [-0.11, 0.02];88.98%;-0.07 [-0.23, 0.05];88.98%
55 - 50;NA;NA;TRUE;NA;-0.03 [-0.11, 0.02];90.92%;-0.06 [-0.21, 0.05];90.92%
55 - 50;NA;NA;NA;SA;-0.02 [-0.09, 0.03];82.45%;-0.04 [-0.19, 0.08];82.45%
55 - 50;NA;NA;NA;nonSA;-0.01 [-0.08, 0.04];77.08%;-0.03 [-0.19, 0.09];77.08%
