Activity_type,Seasonal,SA,Time_bin,scale,Estimate,ETI_low,ETI_high
NA,FALSE,NA,55,log,0.79997697180724,0.514607475264182,1.09541737887442
NA,FALSE,NA,55,explog,2.22548967920171,1.6729817741172,2.99043056550159
mental,FALSE,SA,60,log,0.690441357278787,0.339451210818429,1.01981677969596
mental,FALSE,SA,60,explog,1.99459566832601,1.40417678341826,2.77268670571407
physical,FALSE,SA,60,log,0.916896621404359,0.583570732508779,1.26495493263335
physical,FALSE,SA,60,explog,2.50151518359779,1.79242729599793,3.54293309708094
NA,FALSE,SA,60,log,0.806158041826412,0.506786141855613,1.10551143154334
NA,FALSE,SA,60,explog,2.2392881873019,1.65994778273698,3.02076899063934
mental,FALSE,nonSA,60,log,0.695071654818564,0.343186407956962,1.0282821418204
mental,FALSE,nonSA,60,explog,2.00385265515968,1.40943147094334,2.79625813234063
physical,FALSE,nonSA,60,log,0.942724642748269,0.60985640512417,1.29468345244447
physical,FALSE,nonSA,60,explog,2.56696596509048,1.84016714382046,3.64984066869443
NA,FALSE,nonSA,60,log,0.82214505067004,0.529028754158475,1.12056203977825
NA,FALSE,nonSA,60,explog,2.27537540226795,1.69728305186013,3.06657732371582
mental,FALSE,NA,60,log,0.692726985198678,0.343280234783568,1.0246878995707
mental,FALSE,NA,60,explog,1.99915978615244,1.40956371542949,2.78622577108334
physical,FALSE,NA,60,log,0.929982199031912,0.595110440892837,1.27654480355223
physical,FALSE,NA,60,explog,2.53446406782833,1.81323120610026,3.58423414122648
NA,FALSE,NA,60,log,0.815507226314029,0.522188062448201,1.11078284540309
NA,FALSE,NA,60,explog,2.26032187645022,1.68571206087044,3.03673477501043
mental,FALSE,SA,65,log,0.759436621594786,0.395329380293757,1.11425046713227
mental,FALSE,SA,65,explog,2.13707190960939,1.4848731983871,3.04728328465823
physical,FALSE,SA,65,log,0.871723012875472,0.514200252201444,1.23822827608512
physical,FALSE,SA,65,explog,2.39102707679769,1.67230054890553,3.44949651514967
NA,FALSE,SA,65,log,0.817662761339783,0.501387453613219,1.13555078090576
NA,FALSE,SA,65,explog,2.26519933543135,1.65101043248858,3.11288762553127
mental,FALSE,nonSA,65,log,0.767965119349906,0.405064063258776,1.12150489466716
mental,FALSE,nonSA,65,explog,2.15537585670178,1.49939857874599,3.06947019273002
physical,FALSE,nonSA,65,log,0.901539911088325,0.541542292339377,1.26739128112822
physical,FALSE,nonSA,65,explog,2.46339362268247,1.71865549906489,3.55157545834264
NA,FALSE,nonSA,65,log,0.836926952356959,0.514417219062133,1.15627393250822
NA,FALSE,nonSA,65,explog,2.30925960596152,1.67266342502831,3.17806948934875
mental,FALSE,NA,65,log,0.764748168762356,0.401150508888874,1.1179710217496
mental,FALSE,NA,65,explog,2.148453259042,1.49354204381597,3.05864198582708
physical,FALSE,NA,65,log,0.885696884266103,0.526385122085974,1.25005947570561
physical,FALSE,NA,65,explog,2.42467351968011,1.692801963221,3.49055055741504
NA,FALSE,NA,65,log,0.82811160797088,0.510798831488344,1.14444050687109
NA,FALSE,NA,65,explog,2.28899214203302,1.66662220476766,3.14068367896619
mental,FALSE,SA,70,log,0.804517393411761,0.419961729366477,1.17394335641832
mental,FALSE,SA,70,explog,2.23561731504663,1.52190332883366,3.23472320081214
physical,FALSE,SA,70,log,0.852375313841339,0.460151312894936,1.22558043050785
